site,E,N,z_floor_ft,acc_ha,valley_grade_tan,ux,uy,vx,vy,crest_ft,nwl_ft,H_max_m,abut_L,abut_R,dam_len_m,fill_cfrd_Mm3,fill_rcc_Mm3,gross_Mm3,water_acre,water_out_acre,spill,abut_in_parcel,eff_cfrd,head_m
28,686574.0,4356438.0,3767.800443754419,7.6384,0.16439007302628095,-0.8172009432361134,-0.5763528592572496,0.7682212795973759,-0.6401843996644799,3900.0,3880.0,40.29442474365305,438.0,236.0,674.0,3.4822878455061486,1.090130489870808,2.6047527964970727,22.40949283449429,0.0,False,True,0.7480004273220766,451.10400000000004
28,686574.0,4356438.0,3767.800443754419,7.6384,0.16439007302628095,-0.8172009432361134,-0.5763528592572496,0.7682212795973759,-0.6401843996644799,3950.0,3930.0,55.53442474365306,462.0,308.0,770.0,5.278199371581524,1.639958202817693,4.316085304295903,33.10816743049668,0.3083875160710223,False,False,0.8177192637955737,466.34400000000005
29,686602.0,4356426.0,3793.5767753647815,7.1664,0.24075387097521647,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3900.0,3880.0,32.437798868814525,458.0,104.0,562.0,3.7047352904672244,1.1353811680051829,2.516222396832033,21.31432178383181,0.0,False,True,0.6791908731796863,451.10400000000004
29,686602.0,4356426.0,3793.5767753647815,7.1664,0.24075387097521647,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,3950.0,3930.0,47.677798868814534,482.0,236.0,718.0,5.545200752799365,1.6882720955294803,4.102765157115238,30.585715696479856,0.07116634986254361,False,False,0.7398767583020421,466.34400000000005
29,686602.0,4356426.0,3793.5767753647815,7.1664,0.24075387097521647,-0.8682545587839927,-0.49611895866900146,0.8637789008984335,-0.5038710255240862,4000.0,3980.0,62.91779886881454,510.0,328.0,838.0,7.986566201142341,2.415383362821594,6.357877447247077,42.881679478286,1.8028808631844382,False,False,0.7960714638961726,481.584
30,686378.0,4356014.0,3877.8370523216363,6.904,0.40744500871706274,-0.9045566826005614,-0.42635338389963207,-0.08304547985373997,-0.9965457582448796,4000.0,3980.0,37.235266452365295,58.0,110.0,168.0,0.22484204197855231,0.06873272776654407,0.04024325300781269,1.1070321089729007,0.0,False,True,0.17898455579607078,481.584
30,686378.0,4356014.0,3877.8370523216363,6.904,0.40744500871706274,-0.9045566826005614,-0.42635338389963207,-0.08304547985373997,-0.9965457582448796,4050.0,4030.0,52.475266452365304,90.0,424.0,514.0,1.7070764949487316,0.49185154103917106,0.1637415534062506,3.075967788503274,0.0,False,True,0.0959192829909876,496.824
30,686378.0,4356014.0,3877.8370523216363,6.904,0.40744500871706274,-0.9045566826005614,-0.42635338389963207,-0.08304547985373997,-0.9965457582448796,4100.0,4080.0,67.71526645236531,154.0,464.0,618.0,3.2254104336863327,0.9090038212609596,1.9063701187558644,20.661963576758495,4.281842050063041,False,False,0.5910472970650955,512.0640000000001
32,686378.0,4355982.0,3924.692178405249,6.792,0.44557488127625977,-0.9045566826005614,-0.42635338389963207,-0.08304547985373997,-0.9965457582448796,4050.0,4030.0,38.19382402208021,68.0,438.0,506.0,1.2185074673571503,0.3411091324140148,0.06606846217675817,1.7356681994253693,0.0,False,False,0.054220810250802665,496.824
32,686378.0,4355982.0,3924.692178405249,6.792,0.44557488127625977,-0.9045566826005614,-0.42635338389963207,-0.08304547985373997,-0.9965457582448796,4100.0,4080.0,53.433824022080216,108.0,474.0,582.0,2.5742310159346706,0.7003199622133466,1.3834023651347698,16.735953276008175,4.048574569958037,False,False,0.5374041244050795,512.0640000000001
43,686686.0,4356098.0,3894.711366788611,4.672,0.24893334608016934,-0.6353231332851872,-0.7722464090642909,0.9103664774626047,-0.413802944301184,4000.0,3980.0,32.091975402831395,102.0,80.0,182.0,0.19478998869103112,0.06622401088051227,0.07375653371972693,2.2298789623597,0.05139791934517039,False,True,0.37864642949754923,481.584
43,686686.0,4356098.0,3894.711366788611,4.672,0.24893334608016934,-0.6353231332851872,-0.7722464090642909,0.9103664774626047,-0.413802944301184,4050.0,4030.0,47.331975402831404,138.0,122.0,260.0,0.5017117952438369,0.16357367309593823,0.315682898279298,5.645863755761794,1.2137816337667162,False,False,0.6292116335950863,496.824
43,686686.0,4356098.0,3894.711366788611,4.672,0.24893334608016934,-0.6353231332851872,-0.7722464090642909,0.9103664774626047,-0.413802944301184,4100.0,4080.0,62.57197540283141,172.0,174.0,346.0,1.0294900331028325,0.32699323156316895,0.7799556024072288,9.548151939891268,3.858797636991254,False,False,0.7576135536314819,512.0640000000001
